,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
549,The Good Ghouls' Guide to Getting Even,['Julie Kenner'],Berkley Publishing Group,2007,"Beth Frasier's junior year of high school is going great until she is turned into a vampire, so now she is trying to find a way to end her nightmare, and get revenge.",9780425213919,['Juvenile Fiction'],3.0,5,http://books.google.com/books/content?id=WMMqcGWa06kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
550,Carpe Demon,['Julie Kenner'],Penguin,2006,"A one-time demon hunter who has put her career on hold, Kate Conner finds herself back in business when a murderous demon interrupts her preparations for a dinner party designed to get her husband elected to County Attorney. Reprint.",9780515142211,['Fiction'],4.0,17,http://books.google.com/books/content?id=ipBWt2axWkwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
551,Perfect Circle,['Sean Stewart'],Small Beer Press,2004,"William ""Dead"" Kennedy has always been able to see dead people with unfinished business, but when a distant cousin asks him to deal with the ghost of a dead girl that is haunting his garage, the request soon takes on a life of its own.",9781931520119,['Fiction'],4.0,10,http://books.google.com/books/content?id=JGK9PWNMKYAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
552,The Great Philosophers,['Bryan Magee'],Oxford University Press on Demand,2000,"The author interviews modern philosophers and writers such as Martha Nussbaum and Peter Singer on the major figures in the history of Western philosophy, from Plato and Aristotle to Russell and Wittgenstein.",9780192893222,['Philosophy'],4.0,1,http://books.google.com/books/content?id=-WdAQoGgPaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
553,Feminist Measures,"['Lynn Keller', 'Cristanne Miller']",University of Michigan Press,1994,"Explores the role of gender in poetic production, the tensions between poetry and contemporary literary theory, and the fluid boundaries between theoretical and literary writing.",9780472064847,['Social Science'],5.0,1,http://books.google.com/books/content?id=KADTtlj82WIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
554,Dubliners,"['James Joyce', 'Robert Scholes', 'A. Walton Litz']",Penguin Paperbacks,1996,"In these masterful stories, steeped in realism, Joyce creates an exacting portrait of his native city, showing how it reflects the general decline of Irish culture and civilization. Joyce compels attention by the power of its unique vision of the world, its controlling sense of the truths of human experience.",9780140247749,['Fiction'],4.0,83,http://books.google.com/books/content?id=yOR4QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
555,Ulysses S. Grant,['Michael Korda'],Harper Collins,2004-09-28,"One of the first two volumes in Harper's Eminent Lives series, Korda brings his acclaimed storytelling talents to the life of Ulysses S. Grant – a man who managed to end the Civil War on a note of grace, serve two terms as president, write one of the most successful military memoirs in American literature, and is today remembered as a brilliant general but a failed president. Ulysses S. Grant was the first officer since George Washington to become a four–star general in the United States Army, and the only president between Andrew Jackson and Woodrow Wilson to serve eight consecutive years in the White House. In this succinct and vivid biography, Michael Korda considers Grant's character and reconciles the conflicting evaluations of his leadership abilities. Grant's life played out as a true Horatio Alger story. Despite his humble background as the son of a tanner in Ohio, his lack of early success in the army, and assorted failed business ventures, his unwavering determination propelled him through the ranks of military leadership and into the presidency. But while the general's tenacity and steadfastness contributed to his success on the battlefield, it both aided and crippled his effectiveness in the White House. Assessing Grant both within the context of his time and in contrast to more recent American leaders, Korda casts a benevolent eye on Grant's presidency while at the same time conceding his weaknesses. He suggests that though the general's second term ended in financial and political scandals, the fact remains that for eight years Grant exerted a calming influence on a country that had only just emerged from a horrendous civil war. Ulysses S. Grant is an even–handed and stirring portrait of a man who guided America through a pivotal juncture in its history.",9780060590154,['Biography & Autobiography'],4.0,3,http://books.google.com/books/content?id=t4nNTHy-OLIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
556,Ulysses S. Grant,['Josiah Bunting'],Macmillan,2004-09-08,Traces the life and presidency of Ulyssses S. Grant and discusses why he was undervalued as a president.,9780805069495,['Biography & Autobiography'],2,1,http://books.google.com/books/content?id=ZAGreVhVQPgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
557,Allusions in Ulysses,['Weldon Thornton'],UNC Press Books,1982,Allusions in Ulysses: An Annotated List,9780807840894,['Literary Criticism'],3.0,1,http://books.google.com/books/content?id=Dof6ABIIfwkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
558,Ulysses Found,['Ernle Bradford'],Sutton Pub Limited,2005-02-01,"Having settled in Malta after the end of World War 2, Ernle Bradford decided to trace the route of Ulysses. This book is a journal of his travels, describing both the amazing sights and the pitfalls that befell Homer's character.",9780750937252,['History'],4,1,http://books.google.com/books/content?id=QBdGPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
559,Round Ireland with a Fridge,['Tony Hawks'],Macmillan,2001-03-07,"Recounts the author's experiences hitchhiking on a bet all the way around Ireland with a small refrigerator, and shares his impressions of the people and places along the way.",9780312274924,['Humor'],4.0,40,http://books.google.com/books/content?id=jHnFa872snYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
560,Discovery of the Presence of God,['David R. Hawkins'],Veritas Pub,2006,"Finalizes and further clarifies the true nature and core of the condition termed ""Enlightenment."" It is primarily an instruction manual for the serious spiritual devotee, and reveals information only known by those who have transcended the ego to reach Divine Realization. This is the inner route from the self to the Self. The subjective states of the mystic are of great interest, but historically never have been clarified to the degree presented in this semi-autobiographical account that also provides the means by which to identify their rare occurrence, and thus describe the core characteristics of Spiritual Truth. Devoid of ecclesiastical doctrine or religious belief systems, the pristine essence of all spiritual Truth is revealed in its purity with unprecedcented clarity.",9780971500761,"['Body, Mind & Spirit']",5,2,http://books.google.com/books/content?id=5-UONgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
561,The Eye of the I,['David R. Hawkins'],Veritas Pub,2001,"""This is the second volume of a trilogy which began with ""Power vs. force"" and will be completed by the publications of the third volume simply entitled ""I""--P. [4] of cover.",9780964326194,"['Body, Mind & Spirit']",5,2,http://books.google.com/books/content?id=uKgXAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
562,Letters to J. D. Salinger,"['Chris Kubica', 'Will Hochman']",Univ of Wisconsin Press,2002-03-04,"Presents nearly eighty personal letters addressed to the reclusive author of The Catcher in the Rye by such noted authors, editors, journalists, and critics as Frederick Busch, Nicholas Delbanco, Stewart O'Nan, George Plimpton, Melanie Rae Thon, W. P. Kinsella, and others.",9780299178000,['Biography & Autobiography'],4,1,http://books.google.com/books/content?id=zL13dNDYjccC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
563,J.D. Salinger's The Catcher in the Rye,['Harold Bloom'],Chelsea House,2000,"Critical essays discuss the language, symbolism, and psychological structure of the classic novel of Holden Caulfield's search for identity.",9780791056646,['Juvenile Nonfiction'],3.0,1,http://books.google.com/books/content?id=oZ6SMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
564,Lord of the Flies,['William Golding'],Covercraft,1959-07-01,Story of the return to the wild of a group of British schoolboys marooned on an island.,9780812416114,['Fiction'],3.5,3131,http://books.google.com/books/content?id=2DAZmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
565,Running from the Deity,['Alan Dean Foster'],Ballantine Books,2006,"As a Great Darkness threatens to engulf the entire universe, Flinx and his mini-drag companion Pip may finally get the chance to face down the ultimate evil. Reprint.",9780345461612,['Fiction'],3,4,http://books.google.com/books/content?id=9mnzmJ3Ksn0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
566,Reunion,['Alan Dean Foster'],Random House of Canada,2001,"Flinx and his companion Pip venture into a top-secret security installation on Earth to find information about the Meliorare Society, a sect of renegade eugenicists notorious for their experiments on humans, including Flinx himself.",9780345418685,['Fiction'],3.0,1,http://books.google.com/books/content?id=PSeT-HlIU-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
567,Regarding the Fountain,['Kate Klise'],Harper Collins,1999-03-09,"The Dry Creek Middle School drinking fountain has sprung a leak, so principal Walter Russ dashes off a request to Flowing Waters Fountains, Etc. ...We need a new drinking fountain. Please send a catalog. Designer Flo Waters responds: ""I'd be delighted...but please understand that all of my fountains are custom-made."" Soon the fountain project takes on a life of its own, one chronicled in letters, postcards, memos, transcripts, and official documents. The school board president is up in arms. So is Dee Eel, of the water-supply company. A scandal is brewing, and Mr. Sam N.'s fifth grade class is turning up a host of hilarious secrets buried deep beneath the fountain.",9780380793471,['Juvenile Fiction'],4.0,13,http://books.google.com/books/content?id=RRH5ZDUt5woC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
568,The Architecture of Happiness,['Alain De Botton'],Pantheon,2006,A study of architecture examines how we both shape and are shaped by our private homes and public edifices and explains how our stylistic choices can be used to increase our chances of happiness.,9780375424434,['Architecture'],3,23,http://books.google.com/books/content?id=RMcTxjq_coIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
569,The Consolations of Philosophy,['Alain De Botton'],Vintage,2001,The author attempts to make philosophy useful by using the great philosophers to heal a variety of psychic ailments.,9780679779179,['Philosophy'],4,26,http://books.google.com/books/content?id=xYbjJIRVMAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
570,How Proust Can Change Your Life,['Alain De Botton'],Vintage Books,1998,"Presents a study of Marcel Proust that combines elements of literary biography, textual analysis, and self-help manual as it examines the French writer's thoughts on true love, vacations, dating, and other issues",9780679779155,['Fiction'],3.5,22,http://books.google.com/books/content?id=DebBjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
571,Kiss & Tell,['Alain de Botton'],Macmillan,1996,"Accused by a former girlfriend of being unable to emphathize, the narrator decides to write about the next person who walks into his life, Isabel Rogers",9780312155612,['Fiction'],4,2,http://books.google.com/books/content?id=-7E_Na1sMeAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
572,The Consolations of Philosophy,['Alain de Botton'],Penguin UK,2001-03,"""Witty, thoughful, entertaining ... a stylish book, which manages to make philosophy both enjoyable and relevant, at the same time providing a very sensible digest of consolations for many of our current psychological ills"" Anthony Clare, LiteraryReview",9780140276619,['Philosophy'],4.0,26,http://books.google.com/books/content?id=--sLfWsXrO0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
573,Status Anxiety,['Alain De Botton'],Vintage,2005,"Drawing from the fields of history, psychology, politics, and economics, a close up look at the anxieties we suffer associated with a pursuit of status explains how humans have sought to cope with their fears through philosophy, art, religion, and bohemia and offers thought-provoking suggestions on other ways to deal with the problem. Reprint. 35,000 first printing.",9780375725357,['Philosophy'],4,13,http://books.google.com/books/content?id=J3CKmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
574,Dragons of Winter Night,"['Margaret Weis', 'Tracy Hickman']",Devil's Due Pub,2007,"When dragons invade the land, a small band of heroes, including a knight, barbarian, dwarf, and half-elf, begin the search for the magical Dragon Orb and Dragonlance, in the second volume of the Dragonlance Chronicles in a graphic novel format. Original.",9781932796780,['Comics & Graphic Novels'],4.0,4,http://books.google.com/books/content?id=nFqpZ3it8F0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
575,Dragon's Treasure,['Elizabeth A. Lynn'],Ace Books,2005-09,"In the sequel to Dragon's Winter, Kardur Atani, the Dragon of Chingura, has overcome his father's madness and his brother's treachery to take the throne and struggles to rule with justice while dealing with the ferocity that results from his dragon blood. Reprint.",9780441012596,['Fiction'],4,1,http://books.google.com/books/content?id=5y7bUkQ-ye4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
576,Letters to a Young Artist,['Anna Deavere Smith'],Anchor,2006,"Provides advice to young artists on how they can integrate artistic integrity with professional savvy, discussing such topics as the importance of networking, the role of the artist in social change, and how to pursue one's art without compromise.",9781400032389,['Self-Help'],4.5,2,http://books.google.com/books/content?id=Xv6KDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
577,The Hip Chick's Guide to Macrobiotics,['Jessica Porter'],Penguin,2004,Provides a detailed overview of the health benefits of eating a macrobiotic diet and combines cooking tips and recipes with practical advice on how to strengthen one's body and mind through eating high-quality whole foods.,9781583332054,['Health & Fitness'],3.0,5,http://books.google.com/books/content?id=S5-e-YIwRbkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
578,The Dharma Bums,['Jack Kerouac'],Penguin Classics,1958,During the 1950s the search for Buddhist truths takes two young Bohemians through a series of bizarre experiences in California.,9780143039600,['Fiction'],4.0,33,http://books.google.com/books/content?id=P4WYPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
579,The Alchemist's Daughter,['Katharine McMahon'],Broadway Books,2006-10,"Growing up under the watchful eye of her father, an eccentric chemist, young Emilie Selden is a female scientist--and alchemist--in an eighteenth-century world that dismisses female accomplishment, until an unexpected encounter with the temptations of the outside world lures her away from her home, her work, and her father. Reprint. 25,000 first printing.",9780307335852,['Fiction'],3,19,http://books.google.com/books/content?id=N4tXy1Jz4O8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
580,Fullmetal Alchemist,['Hiromu Arakawa'],VIZ Media LLC,2007-01-16,"In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his brother and himself...the legendary Philosopher's Stone.",9781421508382,['Comics & Graphic Novels'],5,1,http://books.google.com/books/content?id=fRGFwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
581,Astronomy,['Dinah L. Moché'],Wiley,2004-02-24,"""A lively, up-to-date account of the basic principles of astronomy and exciting current field of research.""-Science Digest For a quarter of a century, Astronomy: A Self-Teaching Guide has been making students and amateur stargazers alike feel at home among the stars. From stars, planets and galaxies, to black holes, the Big Bang and life in space, this title has been making it easy for beginners to quickly grasp the basic concepts of astronomy for over 25 years. Updated with the latest discoveries in astronomy and astrophysics, this newest edition of Dinah Moch?'s classic guide now includes many Web site addresses for spectacular images and news. And like all previous editions, it is packed with valuable tables, charts, star and moon maps and features simple activities that reinforce readers' grasp of basic concepts at their own pace, as well as objectives, reviews, and self-tests to monitor their progress. Dinah L. Moch?, PhD (Rye, NY), is an award-winning author, educator, and lecturer. Her books have sold over nine million copies in seven languages.",9780471265184,['Science'],5,1,http://books.google.com/books/content?id=vBFuFT4fOQUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
582,Bad Astronomy,['Philip C. Plait'],Wiley,2002-03-05,"Advance praise for Philip Plait s Bad Astronomy ""Bad Astronomy is just plain good! Philip Plait clears up every misconception on astronomy and space you never knew you suffered from."" --Stephen Maran, Author of Astronomy for Dummies and editor of The Astronomy and Astrophysics Encyclopedia ""Thank the cosmos for the bundle of star stuff named Philip Plait, who is the world s leading consumer advocate for quality science in space and on Earth. This important contribution to science will rest firmly on my reference library shelf, ready for easy access the next time an astrologer calls."" --Dr. Michael Shermer, Publisher of Skeptic magazine, monthly columnist for Scientific American, and author of The Borderlands of Science ""Philip Plait has given us a readable, erudite, informative, useful, and entertaining book. Bad Astronomy is Good Science. Very good science..."" --James ""The Amazing"" Randi, President, James Randi Educational Foundation, and author of An Encyclopedia of Claims, Frauds, and Hoaxes of the Occult and Supernatural ""Bad Astronomy is a fun read. Plait is wonderfully witty and educational as he debunks the myths, legends, and 'conspiracies that abound in our society. 'The Truth Is Out There' and it's in this book. I loved it!"" --Mike Mullane, Space Shuttle astronaut and author of Do Your Ears Pop in Space?",9780471409762,['Science'],4,7,http://books.google.com/books/content?id=3NBaBaKCbqoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
583,Mythology,['Edith Hamilton'],Back Bay Books,1998-09-14,"Since its original publication by Little, Brown and Company in 1942, Edith Hamilton's Mythology has sold millions of copies throughout the world and established itself as a perennial bestseller in its various available formats: hardcover, trade paperback, mass market paperback, and e-book. Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths and legends that are the keystone of Western culture - the stories of gods and heroes that have inspired human creativity from antiquity to the present.",9780316341516,['Social Science'],4.0,58,http://books.google.com/books/content?id=PZDd0ypkLZgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
584,Mythology,['Alex Ross'],Pantheon,2005,"Celebrates the talents of DC Comics artist Alex Ross in a collection of his drawings, never-before-seen sketches, limited edition prints, and other artwork, all reproduced in full color, accompanied by a study of Ross's creative process, a new Superman-Batman story, and a new Robin origin story. Reprint. 50,000 first printing.",9780375714627,['Art'],4.5,8,http://books.google.com/books/content?id=kMByM9h2gkkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
585,Norse Mythology,['John Lindow'],OUP USA,2001,"Provides information on the gods, heroes, rituals, beliefs, symbols, and stories of Norse mythology.",9780195153828,['Fiction'],4,1,http://books.google.com/books/content?id=Y4gRDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
586,"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",['William F. Russell'],Broadway Books,1992-04-01,Presents the essential Greek and Roman myths that form the basis of our cultural literary heritage.,9780517588376,['Fiction'],4.5,4,http://books.google.com/books/content?id=yga4h-1reBcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
587,Snapshots From Hell,['Peter Robinson'],Nicholas Brealey,2005-04-26,"This work is an attempt to provide an answer to the paramount question every prospective student asks, ""What is business school really like?"" During his first year at Stanford Business School, the author began keeping a journal of his day-to-day impressions which evolved into this book, the writing of which he came to see as a ""simple act of decency, like going back to the last calm bend in the river and nailing up a sign that reads 'Waterfall Ahead'"". From his initial harrowing days at ""maths camp"" through the dizzying phalanx of core courses, the frenzy of the exam week, the pitfalls and triumphs of the interview process (including a surreal interview with Robert Maxwell) to being wined and dined by some of the most prestigious companies in the world, Robinson's account is an irreverent story peopled with a wide range of characters.",9781857880786,['Business & Economics'],3.5,2,http://books.google.com/books/content?id=Pgb8wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
588,The Daily Show with Jon Stewart Presents America (The Book) Teacher's Edition,"['Jon Stewart', 'The Writers of The Daily Show']",Grand Central Publishing,2006-09-25,"For everyone who was too cheap to buy the hardcover, the blockbuster, award-winning #1 New York Times bestseller is now in trade paperback-with a new introduction, fully updated, and with equally unsettling nude photos of the newest Supreme Court justices, and a text corrected by the most reputable college professor we could find/afford.Including:Historical inaccuracies, gross distortions, complete fabrications-corrected by real-life bearded college professor.",9780446691864,['Humor'],4,1,http://books.google.com/books/content?id=x2JoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
589,The Children's Book of America,"['William J. Bennett', 'Michael Hague']",Simon and Schuster,1998-11-02,"Presents stories of significant events and people in American history, patriotic songs, and American folk tales and poems.",9780684849300,['Fiction'],1,1,http://books.google.com/books/content?id=5LcLtxBGOSsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
590,Awake in the Dark,['Roger Ebert'],University of Chicago Press,2006-09-15,"Roger Ebert has been writing film reviews for the Chicago Sun-Times for nearly forty years. And during those four decades, his wide knowledge, keen judgment, prodigious energy, and sharp sense of humor have made him America’s most celebrated film critic. He was the first such critic to win a Pulitzer Prize—one of just three film critics ever to receive that honor—and the only one to have a star dedicated to him on the Hollywood Walk of Fame. His groundbreaking hit TV show, At the Movies, meanwhile, has made “two thumbs up” one of the most coveted hallmarks in the entire industry. No critic alive has reviewed more movies than Roger Ebert, and yet his essential writings have never been collected in a single volume—until now. With Awake in the Dark, both fans and film buffs can finally bask in the best of Ebert’s work. The reviews, interviews, and essays collected here present a picture of this indispensable critic’s numerous contributions to the cinema and cinephilia. From The Godfather to GoodFellas, from Cries and Whispers to Crash, the reviews in Awake in the Dark span some of the most exceptional periods in film history, from the dramatic rise of rebel Hollywood and the heyday of the auteur, to the triumph of blockbuster films such as Star Wars and Raiders of the Lost Ark, to the indie revolution that is still with us today. The extraordinary interviews gathered in Awake in the Dark capture Ebert engaging not only some of the most influential directors of our time—Martin Scorsese, Steven Spielberg, Woody Allen, Robert Altman, Werner Herzog, and Ingmar Bergman—but also some of the silver screen’s most respected and dynamic personalities, including actors as diverse as Robert Mitchum, James Stewart, Warren Beatty, and Meryl Streep. Ebert’s remarkable essays play a significant part in Awake in the Dark as well. The book contains some of Ebert’s most admired pieces, among them a moving appreciation of John Cassavetes and a loving tribute to the virtues of black-and-white films. If Pauline Kael and Andrew Sarris were godmother and godfather to the movie generation, then Ebert is its voice from within—a writer whose exceptional intelligence and daily bursts of insight and enthusiasm have shaped the way we think about the movies. Awake in the Dark, therefore, will be a treasure trove not just for fans of this seminal critic, but for anyone desiring a fascinating and compulsively readable chronicle of film since the late 1960s.",9780226182001,['Performing Arts'],4.0,3,http://books.google.com/books/content?id=Ye4pLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
591,Ebert's Bigger Little Movie Glossary,['Roger Ebert'],St. Martin's Griffin,1999-05,Provides humorous descriptions of cliche movie scenes and gimmicks,9780836282894,['Performing Arts'],4.0,1,http://books.google.com/books/content?id=48gFm7DSI5QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
592,The Truth (with Jokes),['Al Franken'],Penguin,2006,A work of political satire draws on a wide range of resources to expose the mendacity of the Bush administration and its conservative Republican supports.,9780452287679,['Humor'],4.0,12,http://books.google.com/books/content?id=z6Af85W8zpoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
593,Lies,['Al Franken'],Penguin,2004,"Offers a whimsical critique of the Right, exposing their deceptive practices, challenging conceptions about the media's liberal bias, and identifying inconsistencies in the Bush administration.",9780452285217,['Humor'],4.0,59,http://books.google.com/books/content?id=igqMIP7OjrAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
594,Still More George W. Bushisms,['Jacob Weisberg'],Touchstone,2003-11-04,"""There's an old saying in Tennessee -- I know it's in Texas, probably in Tennessee -- that says, fool me once, shame on -- shame on you. Fool me -- you can't get fooled again."" With signature remarks like these, it's hardly surprising that George W. Bush's malapropisms have become renowned around the world. Editions of Bushisms have become bestsellers in Germany, France, and Italy, and they remain as popular in the United States as ever. Jacob Weisberg, faithful scribe, here presents the best of the latest crop: ""There's only one person who hugs the mothers and the widows, the wives and the kids upon the death of their loved one. Others hug but having committed the troops, I've got an additional responsibility to hug and that's me and I know what it's like."" ""I'm the master of low expectations."" ""First, let me make it very clear, poor people aren't necessarily killers. Just because you happen to be not rich doesn't mean you're willing to kill.""",9780743251006,['Humor'],3.0,1,http://books.google.com/books/content?id=FEyj0OOhG6YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
595,J.R.R. Tolkien,"['Wayne G. Hammond', 'Christina Scull']",Mariner Books,2000,"A collection of more than two-hundred reproductions of Tolkien's drawings, sketches, and paintings explores his career as an artist.",9780618083619,['Art'],5,4,http://books.google.com/books/content?id=DiU0zVedmA8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
596,Narn i Chin Hurin,['John Ronald Reuel Tolkien'],Houghton Mifflin Harcourt,2007,"A fantasy adventure saga set in the early days of Middle-Earth features humans and elves, dwarves and dragons, orcs and dark sorcerers clashing in an epic battle between good and evil.",9780618894642,['Fiction'],4.0,77,http://books.google.com/books/content?id=W6crAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
597,Tales Before Tolkien,['Douglas A. Anderson'],Del Rey Books,2005,"A collection of twenty-two classic fantasy tales notes their connection to Tolkien's early works and includes such pieces as George Macdonald's ""The Golden Key,"" Andrew Lang's ""The Story of Sigurd,"" and E. A. Wyke-Smith's ""The Marvelous Land of Snergs."" Reprint.",9780345458568,['Fiction'],3.0,1,http://books.google.com/books/content?id=L0zZ-5RVXuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
598,Sauron Defeated,['John Ronald Reuel Tolkien'],Sauron Defeated,1992,"Features an alternate ending, never before published, to the ninth volume in the history of Middle-earth and introduces Tolkien fans to ""The Notions Club"" and ""Adunaic""--Tolkien's fifteenth invented language. 15,000 first printing.",9780395606490,['Fiction'],4,2,http://books.google.com/books/content?id=fTB1PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
599,Tales from the Perilous Realm,['John Ronald Reuel Tolkien'],HarperCollins Publishers,2002,"Never before published in a single volume, Tolkien's four novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") are gathered together in a fully illustrated set.",9780007149124,"['Fairy tales, English']",4.0,9,http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
600,The History of Middle-Earth Index,['Christopher Tolkien'],History of Middle-earth,2002,"Complete integrated indices of History of Middle-earth volumes to complement new series. For the first time every index from each of the twelve volumes of The History Of Middle-earth has been published together in a single volume - to create a supreme index charting the writing of Tolkien's masterpieces The Lord of The Rings and The Silmarillion. This stunning work of reference complements the fascinating History of Middle-earth series, now repackaged to complement the distinctive and classic style of the 'black cover' A-format paperbacks of The Hobbit, The Lord of the Rings, The Silmarillion and Unfinished Tales.",9780007137435,"['Fantasy fiction, English']",5.0,1,http://books.google.com/books/content?id=REceAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
601,Understanding the Lord of the Rings,"['Neil D. Isaacs', 'Rose A. Zimbardo']",Houghton Mifflin Harcourt,2005-05,"Selected essays on Tolkien's trilogy include W. H. Auden's essay on the hero's quest, C. S. Lewis's piece on the value of myth, Marion Zimmer Bradley's article on hero worship, Tim Shippey's piece on the film trilogy, and much more. Original.",9780618422531,['Literary Criticism'],3.5,5,http://books.google.com/books/content?id=GEWXQbASXZUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
602,"The Hobbit, Or, There and Back Again","['John Ronald Reuel Tolkien', 'Alan Lee']",HarperCollins Publishers,1997,"The adventures of the well-to-do hobbit, Bilbo Baggins who lived happily in his comfortable house until a wandering wizard granted his wish.",9780261103306,"['Baggins, Bilbo (Fictitious character)']",4.0,3100,http://books.google.com/books/content?id=0k0IQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
603,Ranma 1/2,['Rumiko Takahashi'],VIZ Media LLC,2006-05-09,"Follows the adventures of half-boy, half-girl martial artist Ranma, whose transforming gender problems began at the Accursed Springs in China when he became cursed to turn into a girl when splashed with cold water, and back into a boy with hot water.",9781421505053,['Comics & Graphic Novels'],5.0,4,http://books.google.com/books/content?id=uboVagoLxbwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
604,Preludes and Nocturnes,"['Neil Gaiman', 'Sam Kieth', 'Mike Dringenberg', 'Todd Klein', 'Danny Vozzo']",Vertigo,1991,"A collection of eight comics that introduce the series' lead character, the Sandman, Lord of Dreams.",9781563892271,['Comics & Graphic Novels'],3.5,2716,http://books.google.com/books/content?id=VwOkQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
