,title,authors,publisher,published_date,description,ISBN13,categories,google_rating,google_ratings_count,book_cover_url,language
661,Endymion,['Dan Simmons'],Spectra,1996,"Trapped in an orbiting prison that will kill him at the slightest sign of tampering, the narrator looks back on events leading up to his impending death",9780553572940,['Fiction'],4.0,22,http://books.google.com/books/content?id=8g4CngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
662,A Winter Haunting,['Dan Simmons'],HarperTorch,2002-12-31,"A once-respected college professor and novelist, Dale Stewart has sabotaged his career and his marriage -- and now darkness is closing in on him. In the last hours of Halloween he has returned to the dying town of Elm Haven, his boyhood home, where he hopes to find peace in isolation. But moving into a long-deserted farmhouse on the far outskirts of town -- the one-time residence of a strange and brilliant friend who lost his young life in a grisly ""accident"" back in the terrible summer of 1960 -- is only the latest in his long succession of recent mistakes. Because Dale is not alone here. He has been followed to this house of shadows by private demons who are now twisting his reality into horrifying new forms. And a thick, blanketing early snow is starting to fall ...",9780380817160,['Fiction'],3.5,14,http://books.google.com/books/content?id=ezRXlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
663,The Amazing Adventures of Kavalier & Clay,['Michael Chabon'],Macmillan,2000,"In 1939 New York City, Joe Kavalier, a refugee from Hitler's Prague, joins forces with his Brooklyn-born cousin, Sammy Clay, to create comic-book superheroes inspired by their own fantasies, fears, and dreams. By the author of Wonder Boys and The Mysteries of Pittsburgh. Reprint.",9780312282998,['Fiction'],4.0,222,http://books.google.com/books/content?id=W2y0nnZRCc8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
664,The Amazing Adventures of the Escapist,"['Michael Chabon', 'Kevin McCarthy', 'Glen David Gold', 'Eric Wight']",Dark Horse Books,2004,"Don't miss out on this thrilling first volume of The Escapist, featuring an original story by the Pulitzer Prize-winning author of Kavalier & Clay. . .Michael Chabon.",9781593071714,['Comics & Graphic Novels'],3.0,4,http://books.google.com/books/content?id=TctgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
665,The Valkyries,['Paulo Coelho'],HarperCollins UK,1996,The author was instructed by his mysterious spiritual master to find and speak to his guardian angel to overcome his dark past. This book gives an account of his quest into the Mojave desert where he encountered angelic beings who challenged him to follow his dreams.,9780722533949,['Angels'],2.5,8,http://books.google.com/books/content?id=89VH5qQpmnoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
666,The Devil and Miss Prym,['Paulo Coelho'],Harper Collins,2006-07-03,"A community devoured by greed, cowardice, and fear. A man persecuted by the ghosts of his painful past. A young woman searching for happiness. In one eventful week, each will face questions of life, death, and power, and each will choose a path. Will they choose good or evil? In the remote village of Viscos -- a village too small to be on any map, a place where time seems to stand still -- a stranger arrives, carrying with him a backpack containing a notebook and eleven gold bars. He comes searching for the answer to a question that torments him: Are human beings, in essence, good or evil? In welcoming the mysterious foreigner, the whole village becomes an accomplice to his sophisticated plot, which will forever mark their lives. Paulo Coelho's stunning novel explores the timeless struggle between good and evil, and brings to our everyday dilemmas fresh perspective: incentive to master the fear that prevents us from following our dreams, from being different, from truly living. The Devil and Miss Prym is a story charged with emotion, in which the integrity of being human meets a terrifying test.",9780060527990,['Fiction'],3.5,32,http://books.google.com/books/content?id=TpR7JDmg9DoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
667,American Psycho,['Bret Easton Ellis'],Pan Macmillan Adult,2000,"An international bestseller and true modern classic Patrick Bateman is twenty-six and works on Wall Street; he is handsome, sophisticated, charming and intelligent. He is also a psychopath. Taking us to a head-on collision with America's greatest dream – and its worst nightmare – American Psycho is a bleak, bitter, black comedy about a world we all recognize but do not wish to confront.Celebrating 40 years of outstanding international writing, this is one of the essential Picador novels reissued in a beautiful new series style.",9780330484770,['American fiction'],3.5,123,http://books.google.com/books/content?id=dneIQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
668,Lunar Park,['Bret Easton Ellis'],Vintage Books USA,2006,"Becoming a best-selling novelist and wealthy celebrity while still in college, only to have his fame disintegrate in a sea of booze and drugs, the narrator gets a new chance at life, but that life unravels after a series of grotesque murders.",9780375727276,['Fiction'],3.0,22,http://books.google.com/books/content?id=gfNuocRMYgcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en
669,Godless,['Pete Hautman'],Simon and Schuster,2005-11,"When sixteen-year-old Jason Bock and his friends create their own religion to worship the town's water tower, what started out as a joke begins to take on a power of its own.",9781416908166,['Juvenile Fiction'],3.0,11,http://books.google.com/books/content?id=gYypDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
670,Soul Mates,['Thomas Moore'],Harper Collins,1994-11-04,"This companion volume to Care of the Soul offers more of Thomas Moore's inspiring wisdom and empathy as it expands on his ideas about life, love, and the mysteries of human relationships. In Care of the Soul, Thomas Moore explored the importance of nurturing the soul and struck a chord nationwide — the book became a long-term bestseller, topping charts across the country and selling 550,000 copies in hardcover and paperback combined. Building on that book's wisdom, Soul Mates, already a hardcover bestseller, explores how relationships of all kinds enhance our lives and fulfill the needs of our souls. Moore emphasizes the difficulties that inevitably accompany many relationships and focuses on the need to work through these differences in order to experience the deep reward that comes with intimacy and unconfined love.",9780060925758,['Psychology'],3.0,2,http://books.google.com/books/content?id=7syElddx2b0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en
